player,team,league,position,age,minutes,league_strength,progressive_carries_p90,progressive_passes_p90,crosses_p90,xA_p90,touches_att_3rd_p90,tackles_p90,interceptions_p90,miscontrols_p90,aerial_win_pct,clearances_p90,pass_completion_pct,errors_p90,npxG_p90,shots_p90,touches_box_p90,goals_p90,pressures_p90,tackles_interceptions_p90,market_value_eur,injury_days_last_2y
CEL Player 001,Celtic,Scottish Premiership,LW,20,2037,0.68,2.963,2.387,2.277,0.176,33.285,0.754,0.773,2.791,39.413,0.669,90.478,0.028,0.206,2.706,4.853,0.181,15.627,1.527,8778885,16
CEL Player 002,Celtic,Scottish Premiership,RB,26,1842,0.68,3.18,6.65,2.421,0.092,15.962,1.994,1.53,1.437,39.667,1.769,92.012,0.037,0.016,0.438,1.609,0.041,15.91,3.524,4425621,23
CEL Player 003,Celtic,Scottish Premiership,AM,18,1342,0.68,2.121,4.62,0.746,0.081,26.611,1.093,1.227,1.269,50.918,1.303,91.485,0.035,0.15,1.295,1.79,0.032,14.434,2.32,2765857,28
CEL Player 004,Celtic,Scottish Premiership,DM,25,1956,0.68,2.108,4.319,0.534,0.075,13.027,2.29,1.46,1.255,50.833,1.515,90.964,0.035,0.088,0.688,1.347,0.008,14.505,3.75,3262030,9
CEL Player 005,Celtic,Scottish Premiership,ST,23,2154,0.68,1.186,1.187,0.328,0.096,11.935,0.487,0.281,1.846,28.74,0.541,56.309,0.03,0.459,2.352,3.895,0.296,13.048,0.768,3280301,36
CEL Player 006,Celtic,Scottish Premiership,DM,21,947,0.68,1.356,5.617,0.545,0.029,13.502,2.194,1.883,1.758,73.728,1.492,62.691,0.049,0.056,0.957,1.662,0.053,22.162,4.077,2390544,21
CEL Player 007,Celtic,Scottish Premiership,CB,22,1342,0.68,1.114,5.635,0.133,0.026,4.077,1.281,2.784,0.314,85.551,4.642,95.0,0.029,0.091,0.541,1.432,0.065,4.835,4.065,5250234,73
CEL Player 008,Celtic,Scottish Premiership,RW,25,2398,0.68,3.871,3.493,2.224,0.228,31.889,0.625,0.452,2.984,47.987,0.495,71.227,0.006,0.187,2.425,4.169,0.166,15.898,1.077,4622524,71
CEL Player 009,Celtic,Scottish Premiership,AM,17,1518,0.68,1.703,3.761,0.499,0.141,14.825,1.629,1.123,1.083,52.769,1.208,95.0,0.035,0.096,1.355,2.429,0.022,17.421,2.752,2116645,143
CEL Player 010,Celtic,Scottish Premiership,RW,23,598,0.68,4.068,3.277,1.567,0.116,14.99,0.717,0.43,1.811,26.381,0.455,43.318,0.078,0.146,1.49,5.705,0.258,11.117,1.147,1672556,34
CEL Player 011,Celtic,Scottish Premiership,CM,23,2055,0.68,1.954,5.332,0.466,0.104,17.98,1.977,1.318,1.49,60.226,1.3,93.169,0.036,0.084,1.227,2.065,0.167,25.97,3.295,4975655,8
CEL Player 012,Celtic,Scottish Premiership,DM,20,2324,0.68,2.255,3.55,0.73,0.126,14.57,2.024,1.822,1.355,46.709,1.456,81.434,0.067,0.005,1.083,2.134,0.09,18.186,3.846,2244468,30
CEL Player 013,Celtic,Scottish Premiership,CM,27,1336,0.68,1.564,4.814,0.752,0.121,24.104,2.211,1.513,1.744,51.861,1.39,77.466,0.027,0.138,0.833,2.298,0.061,23.311,3.724,3525580,94
CEL Player 014,Celtic,Scottish Premiership,RW,24,788,0.68,5.084,2.983,1.596,0.104,28.331,0.556,0.482,2.2,40.91,0.53,35.966,0.037,0.223,2.648,2.311,0.121,16.896,1.038,1177881,77
CEL Player 015,Celtic,Scottish Premiership,CM,22,2078,0.68,2.35,6.111,0.709,0.098,19.777,1.976,1.687,1.727,43.992,1.324,95.0,0.013,0.14,1.427,2.261,0.155,24.692,3.663,8304734,34
